"id","age","indivcollect","rebel","indivchoice","belief_01","belief_02","conf_01","ar_01","apth_01","apth_02","agn_01","mean_01","rid_01","rp_01","rp_02","rp_03","snb_01","snb_02","snb_03","snb_04","snb_05","snb_06","snb_07","snb_08","snb_09","snb_10","snb_11","snb_12","snb_13","snb_14","snb_15","snb_16","snb_17","am_03","fsex","fissp_01","fissp_02","frid_02","fsnb_16","fsnb_17","fnation"
529,41.2,3.87,4.84,4.91,3.32,6,3.25,1.82,5.18,2.7,4.2,3.96,1,2.17,0.82,0.77,3.35,3.73,0.88,3.24,4.36,5.46,4.24,5.19,3.77,4.49,2.71,3.52,5.06,4.45,4.66,1,1,1.56,"Female","I don’t know whether there is a God, and I don’t believe there is any way to find out","Confucian","Orthodox","Yes, I’ve had an experience like this.","Yes.","Brazil"
530,40.5,4.43,3.3,5.33,5.12,6.85,3.84,3.45,3.17,2.6,5.89,2,1,2.25,0.98,1.31,5.11,4.95,3.46,4.51,4.25,3.03,2.19,5.99,4.49,4.16,5.06,4.1,4.42,5.55,3.17,2,2,1.1,"Female","I don’t know whether there is a God, and I don’t believe there is any way to find out","Humanist","Buddhist","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","No","Brazil"
531,39.51,4.51,3.38,5.7,4.12,4.44,2.51,2.58,4.45,1.29,5.67,3.29,1,1.28,1.53,2.09,3.81,4.93,5.32,3.73,4.5,3.63,5.74,3.14,3.66,3.74,4.77,3.23,3.21,3.19,4.14,1,2,0.73,"Female","I don’t know whether there is a God, and I don’t believe there is any way to find out","Daoist","Shinto","Yes, I’ve had an experience like this.","No","Brazil"
532,34.91,5.35,3.8,4.15,4.48,4.79,2.87,2.55,4.17,2.13,5.42,2.63,1,2.67,1.69,1.04,5.64,2.93,2.48,6.2,3.7,2.58,4.55,3.48,4.3,3.3,4.64,4.73,4.1,2.89,5.12,2,1,1.39,"Female","While I have doubts, I feel that I do believe in God","Humanist","Orthodox","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","Yes.","Brazil"
533,42.21,5.22,3.79,6.8,5.1,6.54,3.9,2.11,-0.19,2.68,7.47,2.96,1,1.2,1.53,0.97,4.41,5.02,3.1,4.93,2.73,1.4,3.68,3.83,5.53,6.5,5.24,2.55,4.91,2.93,4.08,3,2,0.6,"Male","Don't Know","Agnostic","Jewish","No, I’ve never had an experience like this.","No","Brazil"
534,39.25,3.51,2.05,4.11,3.34,5.02,4.48,2.49,1.58,2.43,4.32,4.06,1,1.47,1.82,0.89,4.01,5.26,4.09,4.4,1.98,3.76,5.91,4.27,4.48,2.48,5.16,3.93,4.39,3.19,2.96,3,1,1.76,"Male","I don’t know whether there is a God, and I don’t believe there is any way to find out","Other","Other","No, I’ve never had an experience like this.","Yes.","Brazil"
535,43.41,4.81,2.76,5.28,4.03,4.96,4.42,2.4,2.82,3.23,6.26,3.54,1,2.64,1.99,0.89,2.22,2.7,4.57,4.45,3.57,3.6,4,3.34,1.69,4.49,3.63,3.46,3.29,5.26,3.96,3,2,1.05,"Male","I find myself believing in God some of the time, but not at others","Jewish","Hindu","No, I’ve never had an experience like this.","No","Brazil"
536,45.45,4.29,2.46,5.61,3.74,6.48,4.08,3.46,4.23,2.4,5.92,1.47,1,1.27,1.28,1.01,4.77,4.92,5.68,4.75,3.85,4.72,3.06,3.52,2.36,3.3,3.35,3.49,4.92,4.79,3.85,3,2,0.86,"Female","While I have doubts, I feel that I do believe in God","Spiritual but not religious","Other","No, I’ve never had an experience like this.","No","Brazil"
537,37.67,4.87,3.8,4.06,3.41,4.68,3.48,1.22,3.07,4.96,3.65,1.14,1,1.1,0.9,1.51,3.28,3.92,3.31,5.79,4.29,4.68,5.5,4.98,5.5,2.81,5.41,3.35,4.11,4.73,6.06,1,2,0.76,"Female","I don’t believe in God","Secular","Buddhist","Yes, I’ve had an experience like this.","No","Brazil"
538,38.73,5.44,3.43,5.13,4.84,4.76,4.29,3.81,4.15,3.66,5.62,2.53,1,1.13,1,1.32,0.87,5.3,4.4,2.55,4.39,2.96,2.69,3.42,2.98,1.48,2.94,2.32,4.32,4.92,4.17,3,2,0.5,"Male","I don’t believe in God","Shinto","Sunni","No, I’ve never had an experience like this.","No","Brazil"
539,37.84,4.39,5.89,5.16,4.81,5.36,5.16,3.73,1.98,3.09,6.2,3.88,1,1.23,1.82,0.68,4.87,5.67,4.72,3.57,2.68,3.49,2.67,3.29,3.51,4.88,5.03,3.37,4.79,4.09,1.45,1,1,0.66,"Male","While I have doubts, I feel that I do believe in God","Jewish","Buddhist","Yes, I’ve had an experience like this.","Yes.","Brazil"
540,39.97,3.47,3.19,5.3,4.63,5.63,3.93,4.47,3.82,4.59,6.27,2.19,1,0.84,1.11,0.79,4.14,4.06,6.51,3.51,3.66,2.3,2.44,4.49,2.83,4.17,3.27,3.43,5.12,5.43,3.82,2,2,1.73,"Female","I know God really exists and I have no doubt about it.","Christian","Shiite","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","No","Brazil"
541,42.66,5.12,3.91,5.02,5.48,5.32,2.95,3.72,3.75,3.76,5.74,4.95,0,0.57,0.43,-0.3,4.31,4.62,3.3,4.04,4.83,3.66,3.73,4.26,3.66,3.61,6.53,3.67,5.46,4.44,4.47,1,2,0.86,"Female","I know God really exists and I have no doubt about it.","Muslim","Catholic","Yes, I’ve had an experience like this.","No","Brazil"
542,39.88,6.67,2.05,5.24,5.48,4.66,5.33,2.8,1.62,3.84,5.93,1.53,1,1.13,1.45,1.2,3.75,5.09,4.94,3.67,4.31,3.78,2.06,3.73,5.2,3.72,4.58,2.95,3.33,1.51,3.26,3,1,1.82,"notSpec","While I have doubts, I feel that I do believe in God","Spiritual but not religious","Catholic","No, I’ve never had an experience like this.","Yes.","Brazil"
543,40.28,4.82,4.83,5.48,4.29,2.77,3.38,3.76,4.39,2.44,6.25,0.83,1,1.3,0.49,0.72,6.06,5.25,4.4,3.48,5.65,4.11,4.38,5.25,4.02,3.57,5.76,4.64,1.75,1.67,5.09,1,1,1.29,"Female","I don’t believe in God","Jewish","Catholic","Yes, I’ve had an experience like this.","Yes.","Brazil"
544,36.73,4.71,5.92,4.22,4.49,3.51,4.05,2.63,3.93,2.43,4.83,4.2,1,1.01,1.67,1.2,1.99,2.39,7.21,5.16,4.19,2.86,2.75,2.38,2.67,4.33,4.21,5.1,1.88,5.04,3.65,2,1,1.04,"Male","I know God really exists and I have no doubt about it.","Buddhist","Other","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","Yes.","Brazil"
545,40.89,3.71,5.94,5.39,3.84,4.16,5.52,0.08,3.8,0.61,5.34,3.22,1,2.4,1.58,1.95,3.91,3.83,5.88,3.2,4.61,3.23,3.36,2.69,4.01,3.6,4.06,5.16,5.28,5.83,4.09,3,2,1.59,"Female","I don’t believe in a personal God, but I do believe in a Higher Power of some kind","Spiritual but not religious","Hindu","No, I’ve never had an experience like this.","No","Brazil"
546,39.31,3.76,4.06,4.59,3.77,4.63,2.46,2.93,2.83,2.76,4.73,4.11,1,1.32,0.63,1.78,4.66,4.35,1.4,5.14,3.85,2.46,5.51,5.5,4.22,4.87,5.87,3.46,2.64,3.12,4.97,3,1,2.08,"notSpec","Don't Know","Humanist","Orthodox","No, I’ve never had an experience like this.","Yes.","Brazil"
547,39.1,5.82,1.6,5.54,5.34,5.53,3.51,1.3,2.76,2.33,5.53,2.92,1,1.47,1.3,1.55,2.67,3.56,4.24,4.98,5.62,4.59,2.47,3.12,3.64,4.93,3.14,4.62,3.81,4.96,3.88,1,2,0.57,"Male","While I have doubts, I feel that I do believe in God","Christian","Shinto","Yes, I’ve had an experience like this.","No","Brazil"
548,38.86,6.3,3.5,3.72,4.46,6.37,1.47,2.37,5.31,2.83,5.18,3.13,1,1.24,1.3,0.84,2.44,4.89,2.71,2.34,2.29,4.62,3.38,2.52,3.59,4.35,5.56,3.39,3.83,3.45,4.27,1,1,1.52,"Male","I know God really exists and I have no doubt about it.","Hindu","Protestant","Yes, I’ve had an experience like this.","Yes.","Brazil"
549,38.22,4.79,2.92,3.26,2.04,5.09,3.45,3.27,2.44,3.59,4.37,4.96,1,1.51,2.16,-0.07,2.78,5.16,4.72,3.74,3.75,3.42,1.96,4.18,4.21,4.03,2.58,3.8,4.34,3.62,4.55,3,1,0.81,"Female","I don’t believe in a personal God, but I do believe in a Higher Power of some kind","Rationalist","Shinto","No, I’ve never had an experience like this.","Yes.","Brazil"
550,41.97,4.53,1.68,4.05,4.14,6.22,4.58,1.6,3.28,4.51,5.13,3.17,1,0.15,1.62,1.23,3.68,3.48,2.03,3.88,6.58,5.02,4.09,4.66,2.57,3.99,3.12,6.15,4.17,5.39,3.47,1,1,1.11,"notSpec","Don't Know","Rationalist","Other","Yes, I’ve had an experience like this.","Yes.","Brazil"
551,40.11,5.37,2.06,6.33,5.02,4.52,4.4,3.36,2.94,3.91,6.68,3.92,1,1.21,2.58,1.99,3.27,2.95,3.99,3.66,4.12,4.9,2.91,4.38,4.13,5.75,2.75,2.66,4.17,5.58,3.01,2,2,1.41,"Male","I know God really exists and I have no doubt about it.","Other","Shinto","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","No","Brazil"
552,39.24,5.23,2.77,3.02,3.95,6.6,5.77,3.25,1.31,4,4.66,1.65,1,1.02,0.79,1.59,3.45,5.6,3.96,3.68,4.53,4.87,3.95,4.42,3.62,4.35,4.94,4.48,4.66,5.11,3.97,2,1,0.52,"Male","I find myself believing in God some of the time, but not at others","Atheist","Sunni","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","Yes.","Brazil"
553,36.74,4.14,3.96,4.16,3.97,5.28,5.21,4.19,4.06,3.48,5.51,4.31,1,1.17,1,1.36,4.16,3.33,4.28,3.87,2.07,3.79,5.72,6.25,5.73,3.42,5.37,4.74,4.35,4.11,3.03,3,1,0.86,"Male","I find myself believing in God some of the time, but not at others","Rationalist","Protestant","No, I’ve never had an experience like this.","Yes.","Brazil"
554,40.64,5.11,1.73,5.29,4.34,4.06,3.77,2.46,3.01,4.02,5.2,4.69,1,1.45,1.92,2.04,3.13,2.68,3.03,3.45,4.87,5.58,2.3,4.51,3.48,5.76,4.22,2.95,5.98,3.98,3.46,2,1,0.33,"Female","I find myself believing in God some of the time, but not at others","Shinto","Catholic","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","Yes.","Brazil"
555,39.07,3.49,5.06,3.51,3.35,3.77,4.07,2.36,1.46,3.82,3.36,3.07,1,1.35,1.94,0.92,3.95,3.35,5.69,3.99,6.42,4.12,2,2.77,5.79,3.54,3.92,6.39,2.66,3.65,6.2,3,1,1.11,"Male","I know God really exists and I have no doubt about it.","Non-religious","Protestant","No, I’ve never had an experience like this.","Yes.","Brazil"
556,40.1,3.53,3.02,3.41,3.56,5.95,5.79,4.84,2.98,5.16,4.08,3.47,1,0.63,1.49,1.31,3.39,5.32,4.39,3.94,4.14,3.65,4.54,5.06,4.22,5.61,3.1,2.45,3.73,5.16,4.84,1,1,0.15,"Male","I find myself believing in God some of the time, but not at others","Rationalist","Catholic","Yes, I’ve had an experience like this.","Yes.","Brazil"
557,36.6,5.05,3.37,4.44,4.09,4.78,4.86,4.39,3.52,4.14,5.19,2.65,1,1.67,1.58,0.95,3.42,3.13,3.88,1.77,3.8,4.82,1.59,4.61,3.9,3.35,4.93,3.36,5.26,2.65,3.42,3,1,1.06,"Female","I know God really exists and I have no doubt about it.","Sceptic","Other","No, I’ve never had an experience like this.","Yes.","Brazil"
558,40.6,4.42,3.96,5.54,4.17,3.75,3.61,2.27,3.24,3.26,5.85,3.04,1,1.46,1.54,0.71,4.53,4.48,4.89,2.23,4.39,3.6,1.25,5.54,3.6,2.72,4.65,5.18,3.57,5.11,2.83,2,2,1.92,"Male","I know God really exists and I have no doubt about it.","Free thinker","Shinto","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","No","Brazil"
559,38.31,4.8,3.44,5.61,5.03,4.65,5.4,3.15,3.01,3.01,6.45,3.8,1,1.53,1.37,1.17,3.1,2.44,2.3,3.67,5.01,5.21,5.06,4.11,5.26,2.38,2.48,2.45,6.46,5.73,1.94,1,2,1.89,"Male","I don’t believe in a personal God, but I do believe in a Higher Power of some kind","Daoist","Catholic","Yes, I’ve had an experience like this.","No","Brazil"
560,39.6,5.91,2.02,5.21,4.48,5.04,2.77,2.66,1.83,0.92,6.42,5.12,1,0.85,1.81,1.21,5.14,3.45,4.71,3.95,4.42,4.88,5.71,4.15,4.1,4.54,3.15,4.12,5.43,3.81,3.67,2,2,1.04,"Female","I don’t know whether there is a God, and I don’t believe there is any way to find out","Hindu","Protestant","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","No","Brazil"
561,42.12,4.73,2.66,5.61,5.17,3.78,3.58,3.47,4.54,4,6.07,4.8,1,0.6,1.1,1.2,4.89,3.8,6.89,5.7,1.07,4.4,5.15,3.6,4.72,6.43,4.58,4.15,1.98,2.44,4.25,3,2,1.66,"Female","I don’t believe in a personal God, but I do believe in a Higher Power of some kind","Other","Catholic","No, I’ve never had an experience like this.","No","Brazil"
562,39.82,5.36,1.56,5.53,5.12,4.68,2.89,4.36,3.12,3.48,6.7,3,1,1.63,1.5,1.59,2.53,4.53,6.16,4.6,3.32,5.27,2.41,2.59,5.18,2.53,4.24,4.01,4.92,3.42,4.73,1,2,0.54,"Male","While I have doubts, I feel that I do believe in God","Daoist","Other","Yes, I’ve had an experience like this.","No","Brazil"
563,41.53,5.02,5.77,5.09,4.81,4.17,3.79,3.46,3.28,2.06,6.07,2.34,1,0.95,1.57,1.28,6.06,5.73,4.74,3.58,4.66,3.96,5.12,3.05,4.36,5.7,5.14,2.82,3.21,4.49,4.02,3,2,0.81,"Female","I know God really exists and I have no doubt about it.","Shinto","Confucian","No, I’ve never had an experience like this.","No","Brazil"
564,40.85,4.74,3.7,6.01,4.24,5.91,3.4,3.38,1.82,3.07,6.49,2.13,1,1.49,1.04,1.85,3.88,4.37,5.08,2.63,4.67,5.39,6.92,4.74,5.46,3.33,4.15,3.01,4.22,4.13,3.22,3,2,1.44,"Female","While I have doubts, I feel that I do believe in God","Agnostic","Shiite","No, I’ve never had an experience like this.","No","Brazil"
565,37.47,4.19,4.97,6.99,3.97,2.93,3.7,1.7,2.89,3.31,6.7,0.92,1,1.36,1.34,1.69,4.6,4.6,3.49,4.84,5.25,2.13,3.95,5.38,4.63,4.1,4.22,2.48,4.6,4.42,3.52,2,2,0.21,"Female","I don’t know whether there is a God, and I don’t believe there is any way to find out","Agnostic","Jewish","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","No","Brazil"
566,38.34,4.6,5.29,4.98,4.28,4.4,3.44,3.97,5.01,4.79,4.94,4.07,1,0.99,1.69,1.19,4.35,2.52,5.06,4.02,4.07,4.31,4.04,5.89,4.27,3.16,5.29,3.23,4.31,4.04,2.82,1,1,1.41,"Female","While I have doubts, I feel that I do believe in God","Sceptic","Other","Yes, I’ve had an experience like this.","Yes.","Brazil"
567,32.48,4.04,4.34,4.07,3.26,2.68,2.34,3.51,4.46,1.92,4.13,2.82,1,1.21,1.03,0.16,5.82,2.99,4.27,5.06,4.06,5.84,5.1,2.6,5.09,5.17,5.76,3.52,2.75,3.69,1.95,2,2,1.66,"Male","I don’t know whether there is a God, and I don’t believe there is any way to find out","Humanist","Hindu","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","No","Brazil"
568,35.27,5.4,2.76,3.57,4.96,5.44,5.15,3.78,4.17,2.61,4.79,2.67,1,0.64,1.3,0.73,6.78,3.27,2.6,3.93,2.52,4.03,2.69,3.69,5.32,4.98,2.83,4.85,4.72,4.27,2.82,2,2,2.14,"Male","I find myself believing in God some of the time, but not at others","Agnostic","Confucian","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","No","Brazil"
569,39.6,5.31,3.32,4.25,4.52,5.55,6.59,4.56,3.09,2.31,5.28,3.53,1,1.84,1.57,1.09,4.19,3.87,2.96,3.23,3.02,4.45,3.86,2.75,5.04,4.83,4.05,2.75,4.6,2.81,2.93,3,1,1.47,"Female","I don’t know whether there is a God, and I don’t believe there is any way to find out","Agnostic","Buddhist","No, I’ve never had an experience like this.","Yes.","Brazil"
570,35.59,5.3,3.1,2.16,2.73,3.55,5.91,4.49,3.88,2.88,3.5,2.83,1,2.03,0.83,1.09,4.55,3.43,3.65,3.63,2.63,3.76,4.33,4.26,2.99,0.85,6.01,3.44,4.29,3.85,1.7,3,2,1.02,"Male","I don’t know whether there is a God, and I don’t believe there is any way to find out","Rationalist","Confucian","No, I’ve never had an experience like this.","No","Brazil"
571,41.13,4.76,3.38,4.09,4.15,3.32,4.94,3.16,3.2,3.55,4.75,1.81,1,0.86,1.22,1.54,4.12,2.01,4.74,4.67,2.94,3.48,2.98,3.24,2.4,3.35,6.42,4.02,4.54,4.76,4.02,3,2,1.74,"Male","I find myself believing in God some of the time, but not at others","Seeker","Other","No, I’ve never had an experience like this.","No","Brazil"
572,42.16,3.29,4.46,3.85,3.56,3.47,4.77,2.63,2.96,4.93,4.59,2.33,1,1.4,1.58,2.07,3.71,5.22,3.43,4.9,5.71,3.3,3.71,2.82,2.18,4.94,3.9,4,5.61,3.83,5.13,2,1,0.82,"Male","I don’t believe in God","Secular","Hindu","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","Yes.","Brazil"
573,40.85,3.42,3.54,5.39,3.51,3.51,1.61,3.41,3.27,3.68,6.53,3.16,1,0.98,1.84,2.08,4.14,3.82,2.48,5.1,3.94,7.16,5.43,3.27,4.95,3.38,4.11,5.26,2.67,5.02,4.01,1,1,1.99,"Female","Don't Know","Seeker","Sunni","Yes, I’ve had an experience like this.","Yes.","Brazil"
574,43.92,6.41,2.19,4.39,4.24,5.97,4.47,4.05,3.23,2.45,5.64,3.8,1,1.67,1.47,1.09,4.44,3.04,3.56,5.76,4.7,3.16,2.98,3.62,3.73,1.62,6.17,4.12,3.63,3.85,4.17,1,2,0.97,"Female","I know God really exists and I have no doubt about it.","Hindu","Jewish","Yes, I’ve had an experience like this.","No","Brazil"
575,41.37,4.92,3.43,3.37,2.94,5.24,3.73,2.5,2.29,2.67,4.47,2.91,1,1.97,2.37,1.81,3.33,6.06,3.22,4.36,1.24,5.04,3.29,3.32,2.86,3.94,4.95,3.85,2.42,3.32,3.18,2,2,0.8,"notSpec","I don’t believe in a personal God, but I do believe in a Higher Power of some kind","Secular","Shinto","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","No","Brazil"
576,43.32,4.17,2.89,4.43,3.26,7.24,5.23,3.27,1.34,1.3,5.47,2.57,1,1.55,1.34,1.66,2.95,2.84,2.23,1.72,4.25,6.3,5.22,6.09,4.3,3.9,3.09,3.79,4.09,4.13,4.73,3,2,0.87,"Female","I find myself believing in God some of the time, but not at others","Non-religious","Orthodox","No, I’ve never had an experience like this.","No","Brazil"
577,43.84,3.23,4.72,4.68,3.12,6.51,4.92,2.61,2.8,0.95,3.97,4.08,0,-0.06,0.21,0.73,2.59,4.81,6.22,2.96,3.48,4.79,2.78,5.03,4.36,4.1,4,3.42,4.6,1.13,3.6,1,1,0.31,"Female","I find myself believing in God some of the time, but not at others","Confucian","Other","Yes, I’ve had an experience like this.","Yes.","Brazil"
578,39.31,3.9,4.88,3.83,3.77,5.7,5.36,2.26,2.35,3.7,4.39,3.53,1,1.24,1.64,1.5,3.31,2.66,5.35,3.04,3.86,4.16,4.37,4.53,5.55,4.07,3.63,4.29,4.54,2.83,4.57,2,1,1.58,"Male","I don’t believe in a personal God, but I do believe in a Higher Power of some kind","Christian","Confucian","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","Yes.","Brazil"
579,38.95,5.72,3.5,3.76,4.79,4.94,3.06,2.82,4.19,2.93,5.27,2.51,1,0.41,0.71,0.6,2.48,3.45,6.27,6.67,3.1,4.66,2.73,2.71,3.66,3.58,3.22,5.72,4.48,3.05,3.66,1,2,1.33,"Male","I find myself believing in God some of the time, but not at others","Rationalist","Buddhist","Yes, I’ve had an experience like this.","No","Brazil"
580,36.27,3.97,5.01,4.44,2.54,4.26,4.64,2.05,2.82,2.6,6.03,0.97,1,1.23,1.13,1.22,4.72,3.35,2.6,3.98,3.8,4.34,6.16,4.06,3.1,3.18,2.41,3.39,2.94,4.02,2.61,3,1,0.61,"Male","I find myself believing in God some of the time, but not at others","Daoist","Catholic","No, I’ve never had an experience like this.","Yes.","Brazil"
581,43.58,5.58,2.22,4,4.71,4.08,2.36,3.65,2.68,3.46,4.93,3.57,1,0.76,2.37,0.71,4.07,3.36,3.36,4.19,5.79,6.09,5.85,4.87,5.52,2.44,2.56,3.82,3.97,3.72,3.65,1,2,1.51,"Male","I find myself believing in God some of the time, but not at others","Hindu","Orthodox","Yes, I’ve had an experience like this.","No","Brazil"
582,38.14,3.23,4.26,5.54,4.09,4.05,5.18,1.47,2.11,3.82,5.55,3.2,1,1.02,2.18,1.44,3.64,3.54,3.08,2.7,2.93,3.83,3.14,2.38,5.99,3.92,4.7,4.56,3.61,4.12,4.9,1,1,1.05,"Male","Don't Know","Buddhist","Sunni","Yes, I’ve had an experience like this.","Yes.","Brazil"
583,39.82,4.79,2.35,3.07,2.78,6.01,2.4,1.75,1.09,1.38,3.76,1.97,1,2.57,1.28,1.87,2.09,2.92,3.81,4.95,5.69,2.69,3.83,3.94,2.64,2.32,4.54,5.34,2.4,6.11,5.65,2,1,0.49,"Female","I don’t believe in a personal God, but I do believe in a Higher Power of some kind","Christian","Sunni","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","Yes.","Brazil"
584,39.33,4.27,3.95,3.8,3.4,3.92,3.73,2.91,3.96,4.49,4.16,2.23,0,0.74,0.91,0.38,2.78,4.3,5.38,4.51,5.26,4.13,5.46,3.26,4.6,4.2,4.67,2.38,3.18,5.91,3.7,1,2,0.96,"Female","I don’t believe in God","Free thinker","Shiite","Yes, I’ve had an experience like this.","No","Brazil"
585,38.59,3.12,4.5,5.19,4.52,5.15,4.05,3.5,3.96,2.67,4.36,3.67,1,1.52,1.67,1.75,4.64,3.73,2.45,5.26,5.02,4.2,3.8,4.29,3.83,2.86,4.39,3.23,4.4,3.91,5.16,2,2,0.52,"Male","While I have doubts, I feel that I do believe in God","Secular","Orthodox","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","No","Brazil"
586,41.93,4.37,4.69,4.25,3.65,5.04,3.26,4.91,3.66,2.32,4.55,1.01,1,1.56,1.37,1.19,3.42,3.15,2.99,3.03,4.38,3.87,4.99,4.2,2.53,4.46,4.01,2.71,4.6,3.34,4.29,3,1,0.54,"Female","I don’t believe in a personal God, but I do believe in a Higher Power of some kind","Daoist","Other","No, I’ve never had an experience like this.","Yes.","Brazil"
587,37.19,3.01,4.69,4.53,3.84,4.21,5.01,2.44,4.32,3.43,4.34,2.37,0,1.64,0.55,0.37,4.3,4.3,3.92,3.56,3.76,5.26,3.1,3.39,3.44,3.22,2.83,4.77,3.25,3.33,4.34,1,2,0.79,"Male","I don’t believe in a personal God, but I do believe in a Higher Power of some kind","Daoist","Shiite","Yes, I’ve had an experience like this.","No","Brazil"
588,41.02,4.41,5.09,3.52,3.89,5.44,5.13,2.76,4.96,3.93,4.92,1.11,1,1.41,0.85,1.54,3.46,4.52,4.1,1.91,3.44,3.5,3.48,6.19,3.78,6.62,3.06,3.49,3.62,5.53,5.19,2,1,0.74,"Male","I know God really exists and I have no doubt about it.","Atheist","Hindu","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","Yes.","Brazil"
589,39.8,5.86,2.13,3.39,4.35,3.67,3.73,0.54,3.32,3.28,5.29,3.43,1,1.54,1.31,1.32,4.11,4.5,3.26,5.1,4.66,2.28,3.23,2.8,4.49,6.73,4.04,3.19,3.19,3.12,1.77,1,2,1.11,"Female","Don't Know","Non-religious","Buddhist","Yes, I’ve had an experience like this.","No","Brazil"
590,37.33,4.24,3.34,4.54,4.29,2.46,4.48,1.84,1.38,3.68,4.6,2.56,1,1.55,0.46,0.37,5.11,5.31,3.82,4.24,5.41,5.22,4.47,3.67,4.32,3.88,2.13,4.26,2.77,1.17,4.54,3,1,1.42,"Male","Don't Know","Daoist","Protestant","No, I’ve never had an experience like this.","Yes.","Brazil"
591,37.47,4.18,4.43,3.88,3.81,3.23,4.08,3.09,2.16,3.71,4.7,3.26,1,1.06,2.32,1.28,3.79,3.73,4.71,4.92,5.94,6.02,4.03,1.75,5.9,5.29,3.2,5.15,3.34,5.43,4.96,1,2,1.1,"Male","Don't Know","Confucian","Protestant","Yes, I’ve had an experience like this.","No","Brazil"
592,36.03,5.81,4.02,4.38,4.91,6.76,2.68,1.96,3.25,2.59,5.17,2.88,1,0.7,1.52,1.26,2.98,4.08,4.71,3.37,3.65,3.79,4.2,2.83,4.66,3.38,4.12,3.9,3.64,3.49,5.43,3,1,0.82,"Male","I don’t believe in God","Rationalist","Protestant","No, I’ve never had an experience like this.","Yes.","Brazil"
593,37.38,6.5,3.3,4.6,4.91,5.28,2.15,2.09,3.41,4.07,6.27,5.79,1,1.06,0.94,1.23,2.42,4.06,4.65,1.57,5.2,3.73,3.91,3.24,4.85,3.42,2.48,5.42,4.39,2.43,4.06,2,2,1.76,"Female","Don't Know","Agnostic","Catholic","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","No","Brazil"
594,38.01,5.46,1.16,5.21,5.4,6.37,4.43,2.83,3.42,3.6,6.76,2.43,1,1.96,1.74,1.05,3.79,4.72,4.54,4.12,5.16,3.73,3.16,2.88,3.53,4.85,4.6,4.12,4.46,2.58,4.28,2,2,0.66,"Male","I don’t believe in a personal God, but I do believe in a Higher Power of some kind","Hindu","Sunni","I’ve had an experience like this, but I didn’t associate it with a spiritual force.","No","Brazil"
595,41.46,5.05,3.5,3.87,3.9,2.67,3.56,2.82,3.26,2.03,4.94,4.34,1,1.25,1.6,0.76,6,1.95,1.82,4.96,2.89,3.54,4.3,5.96,3.77,3.03,4.86,5.43,4.53,4.59,5.15,1,1,1.79,"Male","I know God really exists and I have no doubt about it.","Hindu","Jewish","Yes, I’ve had an experience like this.","Yes.","Brazil"
596,39.03,6.04,4.19,4.27,4.59,4.39,4.46,3,2.39,3.48,5.49,1.6,1,1.88,1.09,1.55,5.49,2.01,3.81,5.22,3.85,3.73,1.5,2.82,4.13,6.09,4.84,2.8,3.81,5.03,3.51,1,1,1.83,"Male","I don’t believe in a personal God, but I do believe in a Higher Power of some kind","Daoist","Other","Yes, I’ve had an experience like this.","Yes.","Brazil"
597,37.3,3.91,4.11,3.86,3.28,4.5,3.96,2.55,3.19,2.74,4.29,3.64,1,0.71,1.69,0.86,5.14,4.29,2.62,3.37,4.91,2.62,3.88,5,4.3,3,5.36,3.57,3.99,1.92,1.45,1,2,0.53,"Female","I don’t believe in a personal God, but I do believe in a Higher Power of some kind","Spiritual but not religious","Other","Yes, I’ve had an experience like this.","No","Brazil"
598,37.74,4.6,2.2,5.63,4.66,3.61,4.67,3.03,3.15,2.75,6.12,2.29,1,1.34,2.21,1.18,4.88,4.29,4.42,3.09,3.62,3.78,3.77,4.44,3.25,4.17,2.88,3.27,3.67,3.83,5.48,1,2,1.27,"Female","I don’t know whether there is a God, and I don’t believe there is any way to find out","Non-religious","Buddhist","Yes, I’ve had an experience like this.","No","Brazil"
599,42.31,2.71,5.22,5.82,3.19,4.94,4.03,2.57,3.46,2.51,5.83,1.44,0,0.82,0.81,0.46,3.81,3.27,3.53,2.41,3.63,5.85,4.43,5.91,3.54,3.19,5.13,4.26,3.09,2.5,4.73,3,1,-0.04,"Male","While I have doubts, I feel that I do believe in God","Confucian","Buddhist","No, I’ve never had an experience like this.","Yes.","Brazil"
